year,month,country_chart,artist,track,rank,streams,spotify_link
2017,01,Global,Rob $tone,Chill Bill (feat. J. Davi$ & Spooks),111.0,5133129,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp
2017,01,Global,"IAmChino, El Chacal","Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",110.0,5111757,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY
2017,01,Global,"Sean Paul, Dua Lipa",No Lie,116.0,5092269,https://open.spotify.com/track/3cFsmM51N5zMAuu1nNY4Tw
2017,01,Global,Desiigner,Panda,95.0,5069185,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
2017,01,Global,"21 Savage, Metro Boomin",X (feat. Future),84.0,5053189,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO
2017,01,Global,Wisin,Vacaciones,139.0,5042825,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE
2017,01,Global,Justin Bieber,Love Yourself,103.0,4943382,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
2017,01,Global,Zara Larsson,So Good (feat. Ty Dolla $ign),88.0,4926973,https://open.spotify.com/track/54LGxQGf5LPXNGjtzDZ5IE
2017,01,Global,Bruno Mars,Versace on the Floor,90.0,4919755,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP
2017,01,Global,Vice,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),96.0,4887947,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA
2017,01,Global,Lil Wayne,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",106.0,4884241,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
2017,01,Global,"Rihanna, Drake",Work,132.0,4828938,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
2017,01,Global,Piso 21,Me llamas (feat. Maluma) - Remix,131.0,4824679,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
2017,01,Global,Justin Bieber,Sorry,109.0,4799410,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
2017,01,Global,G-Eazy,Some Kind Of Drug (feat. Marc E. Bassy),112.0,4796429,https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF
2017,01,Global,Mike Perry,The Ocean (feat. Shy Martin),124.0,4713991,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
2017,01,Global,Coldplay,Hymn for the Weekend - Seeb Remix,128.0,4647831,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU
2017,01,Global,Ozuna,Dile Que Tu Me Quieres,113.0,4630953,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o
2017,01,Global,Little Mix,Shout Out to My Ex,123.0,4623980,https://open.spotify.com/track/0YHUITU3w6ws1v8ehT264g
2017,01,Global,Drake,Controlla,126.0,4622678,https://open.spotify.com/track/6F609ICg9Spjrw1epsAnpa
2017,01,Global,"Drake, 21 Savage",Sneakin’,113.0,4601050,https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W
2017,01,Global,Migos,Kelly Price (feat. Travis Scott),101.0,4598755,https://open.spotify.com/track/204U3zjm9kkzX25Pr4Rdld
2017,01,Global,Sebastian Yatra,Traicionera,105.0,4598074,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
2017,01,Global,"21 Savage, Metro Boomin",No Heart,107.0,4576890,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO
2017,01,Global,"Carlos Vives, Shakira",La Bicicleta,107.0,4545192,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU
2017,01,Global,Olivia Holt,History,153.0,4447559,https://open.spotify.com/track/0WCEaydwN65cvwaW8aqptF
2017,01,Global,"Flo Rida, 99 Percent",Cake - Challenge Version,162.0,4406035,https://open.spotify.com/track/6t2ubAB4iSYOuIpRAOGd4t
2017,01,Global,"The Weeknd, Kendrick Lamar",Sidewalks,143.0,4399980,https://open.spotify.com/track/4h90qkbnW1Qq6pBhoPvwko
